Site,VegType,WetlandID,SiteWet,area_total,area_m2,CovPercent
Jones Center Ichauway,herb,39,Jones Center_39,11997.45,11939.01,99.51
Jones Center Ichauway,sparse,49,Jones Center_49,43270.52,806.54,1.86
Jones Center Ichauway,herb,53,Jones Center_53,31543.86,31409.77,99.57
Jones Center Ichauway,shrub,50,Jones Center_50,57626.22,2108.04,3.66
Jones Center Ichauway,shrub,39,Jones Center_39,11997.45,698.53,5.82
Jones Center Ichauway,water,37,Jones Center_37,8897.19,1983.96,22.3
Jones Center Ichauway,herb,49,Jones Center_49,43270.52,42631.56,98.52
Jones Center Ichauway,tree,15,Jones Center_15,195610.65,49033.91,25.07
Jones Center Ichauway,shrub,15,Jones Center_15,195610.65,8510.5,4.35
Jones Center Ichauway,shrub,46,Jones Center_46,101401.36,8910.82,8.79
Jones Center Ichauway,tree,50,Jones Center_50,57626.22,1377.55,2.39
Jones Center Ichauway,herb,21,Jones Center_21,95887.44,70362.91,73.38
Jones Center Ichauway,shrub,37,Jones Center_37,8897.19,366.09,4.11
Jones Center Ichauway,herb,40,Jones Center_40,14546.06,14495.79,99.65
Jones Center Ichauway,shrub,40,Jones Center_40,14546.06,190.82,1.31
Jones Center Ichauway,shrub,51,Jones Center_51,7307.16,1250.85,17.12
Jones Center Ichauway,herb,51,Jones Center_51,7307.16,7263.82,99.41
Jones Center Ichauway,herb,37,Jones Center_37,8897.19,8883.96,99.85
Jones Center Ichauway,tree,51,Jones Center_51,7307.16,225.05,3.08
Jones Center Ichauway,herb,46,Jones Center_46,101401.36,101130.36,99.73
Jones Center Ichauway,tree,40,Jones Center_40,14546.06,10863.09,74.68
Jones Center Ichauway,sparse,46,Jones Center_46,101401.36,279.86,0.28
Jones Center Ichauway,tree,21,Jones Center_21,95887.44,5779.28,6.03
Jones Center Ichauway,water,53,Jones Center_53,31543.86,1044.27,3.31
Jones Center Ichauway,water,42,Jones Center_42,22834.93,2288.83,10.02
Jones Center Ichauway,tree,55,Jones Center_55,36314.5,1547.8,4.26
Jones Center Ichauway,tree,53,Jones Center_53,31543.86,1419.68,4.5
Jones Center Ichauway,tree,41,Jones Center_41,5364.08,3337.41,62.22
Jones Center Ichauway,herb,15,Jones Center_15,195610.65,169418.35,86.61
Jones Center Ichauway,tree,42,Jones Center_42,22834.93,3581.44,15.68
Jones Center Ichauway,sparse,21,Jones Center_21,95887.44,25859.63,26.97
Jones Center Ichauway,water,46,Jones Center_46,101401.36,509.13,0.5
Jones Center Ichauway,herb,55,Jones Center_55,36314.5,36049.37,99.27
Jones Center Ichauway,shrub,55,Jones Center_55,36314.5,11480.64,31.61
Jones Center Ichauway,shrub,21,Jones Center_21,95887.44,822,0.86
Jones Center Ichauway,herb,50,Jones Center_50,57626.22,57353.78,99.53
Jones Center Ichauway,water,51,Jones Center_51,7307.16,3432.08,46.97
Jones Center Ichauway,sparse,55,Jones Center_55,36314.5,1381.06,3.8
Jones Center Ichauway,herb,41,Jones Center_41,5364.08,5350.84,99.75
Jones Center Ichauway,shrub,41,Jones Center_41,5364.08,147.72,2.75
Jones Center Ichauway,tree,46,Jones Center_46,101401.36,10019.42,9.88
Jones Center Ichauway,water,50,Jones Center_50,57626.22,455.66,0.79
Jones Center Ichauway,water,49,Jones Center_49,43270.52,282.7,0.65
Jones Center Ichauway,sparse,37,Jones Center_37,8897.19,177.54,2
Townsend WMA,herb,Snot Bonnet,townsend_snotbonnet,3210.28,3181.73,99.11
Townsend WMA,shrub,Milfoil,townsend_millfoil,2317.78,355.67,15.35
Townsend WMA,tree,Snot Bonnet,townsend_snotbonnet,3210.28,1302.71,40.58
Townsend WMA,herb,Plum Orchard,townsend_plumorchar,1530.18,1520.44,99.36
Townsend WMA,tree,Deadwood,townsend_deadwood,42470.53,18518.21,43.6
Townsend WMA,shrub,Plum Orchard,townsend_plumorchar,1530.18,37.94,2.48
Townsend WMA,shrub,Cutgrass,townsend_cutgrass,2719.52,440.41,16.19
Townsend WMA,herb,Deadwood,townsend_deadwood,42470.53,42205.14,99.38
Townsend WMA,shrub,Snot Bonnet,townsend_snotbonnet,3210.28,355.88,11.09
Townsend WMA,herb,Milfoil,townsend_millfoil,2317.78,2302.44,99.34
Townsend WMA,tree,Plum Orchard,townsend_plumorchar,1530.18,64.25,4.2
Townsend WMA,tree,Milfoil,townsend_millfoil,2317.78,531.2,22.92
Townsend WMA,herb,Cutgrass,townsend_cutgrass,2719.52,2703.19,99.4
Townsend WMA,shrub,Deadwood,townsend_deadwood,42470.53,3163.05,7.45
Townsend WMA,sparse,Millfoil,townsend_millfoil,2317.78,12.7,0.55
Townsend WMA,tree,Cutgrass,townsend_cutgrass,2719.52,1304.67,47.97
